Day of IncDate,Fire Incident,Medical Incident,Other
01-Jan-19,7,183,80
02-Jan-19,6,142,71
03-Jan-19,3,134,62
04-Jan-19,4,163,68
05-Jan-19,2,153,74
06-Jan-19,6,135,60
07-Jan-19,4,151,60
08-Jan-19,2,180,58
09-Jan-19,4,150,69
10-Jan-19,6,159,63
11-Jan-19,6,150,73
12-Jan-19,6,148,50
13-Jan-19,4,149,49
14-Jan-19,8,140,56
15-Jan-19,6,131,65
16-Jan-19,5,160,57
17-Jan-19,9,162,56
18-Jan-19,1,138,68
19-Jan-19,9,141,64
20-Jan-19,4,137,53
21-Jan-19,3,136,51
22-Jan-19,5,152,67
23-Jan-19,8,164,54
24-Jan-19,6,165,60
25-Jan-19,5,181,77
26-Jan-19,7,132,61
27-Jan-19,5,120,54
28-Jan-19,3,120,55
29-Jan-19,4,152,53
30-Jan-19,5,150,49
31-Jan-19,6,170,66
01-Feb-19,4,148,58
02-Feb-19,4,139,39
03-Feb-19,3,177,54
04-Feb-19,5,162,72
05-Feb-19,1,164,76
06-Feb-19,5,167,75
07-Feb-19,3,150,83
08-Feb-19,3,176,70
09-Feb-19,3,168,66
10-Feb-19,4,133,62
11-Feb-19,4,166,47
12-Feb-19,3,158,66
13-Feb-19,5,153,60
14-Feb-19,2,148,64
15-Feb-19,3,170,54
16-Feb-19,2,169,59
17-Feb-19,10,129,58
18-Feb-19,7,165,60
19-Feb-19,3,185,54
20-Feb-19,7,194,65
21-Feb-19,4,158,57
22-Feb-19,5,167,55
23-Feb-19,3,126,69
24-Feb-19,2,150,44
25-Feb-19,4,151,60
26-Feb-19,5,143,81
27-Feb-19,6,189,68
28-Feb-19,,167,62
01-Mar-19,5,173,59
02-Mar-19,12,155,59
03-Mar-19,7,148,63
04-Mar-19,9,188,104
05-Mar-19,3,176,55
06-Mar-19,6,174,70
07-Mar-19,4,166,52
08-Mar-19,4,199,50
09-Mar-19,11,161,55
10-Mar-19,21,154,50
11-Mar-19,12,182,61
12-Mar-19,5,174,51
13-Mar-19,6,171,71
14-Mar-19,4,166,64
15-Mar-19,10,187,61
16-Mar-19,5,165,62
17-Mar-19,6,148,55
18-Mar-19,16,160,50
19-Mar-19,15,156,41
20-Mar-19,11,179,60
21-Mar-19,8,143,79
22-Mar-19,7,170,72
23-Mar-19,12,144,61
24-Mar-19,5,170,68
25-Mar-19,6,150,49
26-Mar-19,6,156,61
27-Mar-19,2,163,65
28-Mar-19,5,172,43
29-Mar-19,5,166,56
30-Mar-19,7,159,76
31-Mar-19,5,150,57
01-Apr-19,4,161,72
02-Apr-19,6,150,64
03-Apr-19,8,140,58
04-Apr-19,5,144,54
05-Apr-19,4,159,50
06-Apr-19,3,153,46
07-Apr-19,6,151,54
08-Apr-19,4,136,70
09-Apr-19,4,139,56
10-Apr-19,3,177,51
11-Apr-19,2,156,45
12-Apr-19,6,150,40
13-Apr-19,3,136,49
14-Apr-19,4,144,51
15-Apr-19,7,149,49
16-Apr-19,2,147,58
17-Apr-19,4,161,57
18-Apr-19,5,163,78
19-Apr-19,2,167,47
20-Apr-19,6,158,54
21-Apr-19,6,130,60
22-Apr-19,4,147,53
23-Apr-19,6,175,61
24-Apr-19,4,173,65
25-Apr-19,10,155,60
26-Apr-19,14,145,62
27-Apr-19,9,160,46
28-Apr-19,9,167,55
29-Apr-19,8,152,49
30-Apr-19,10,139,74
01-May-19,14,160,53
02-May-19,7,144,71
03-May-19,14,131,51
04-May-19,11,154,56
05-May-19,14,164,61
06-May-19,15,177,67
07-May-19,13,169,74
08-May-19,9,197,52
09-May-19,23,183,64
10-May-19,18,178,67
11-May-19,17,183,63
12-May-19,13,144,59
13-May-19,16,168,52
14-May-19,11,145,63
15-May-19,-1,-1,-1
